"Provincia","Nombre","Dirección","Gasolina 95","Gasolina 98","Gasoleo A"
"Albacete","FRANCISCO SAEZ EGIDO","AVENIDA MAESTRO COLAS, Nº3 (CTRA. VENTA LA VEGA-CASAS IBAÑ km 9,2), ALPERA","1,279€","1,419€","1,179€"
"Albacete","FAST & GAS","AVENIDA 3ª ESQUINA C/ F Nº3, 3, ALBACETE","1,319€","€","1,259€"
"Albacete","ESTACIÓN DE SERVICIO AVENIDA DEL OESTE","CARRETERA DE LAS MESAS KM. 005, VILLARROBLEDO","1,386€","1,409€","1,299€"
"Albacete","ES SAN ANTONIOABAD. FUENTEALBILLA","N-322 (CORDOBA-VALENCIA) km 399, FUENTEALBILLA","1,329€","€","1,259€"
"Albacete","ES CAUDETE","CARRETERA VILLENA-CAUDETE KM. 10, CAUDETE","1,249€","1,359€","1,139€"
"Albacete","EROSKI","CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N, ALBACETE","1,289€","1,339€","1,218€"
"Albacete","ENERCOM CARBURANTES","POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69, ALBACETE","1,349€","1,469€","1,289€"
"Albacete","EL JUCAR","CARRETERA CM-3201 47,1 KM. 47,1, ALCALA DEL JUCAR","1,399€","€","1,329€"
"Albacete","E.S. VIRGEN DE LA CRUZ","PASEO LIBERTAD, 62, LEZUZA","1,389€","€","1,319€"
"Albacete","E.S. TOBARRA","AVENIDA GUARDIA CIVIL, 114, TOBARRA","1,409€","1,489€","1,309€"
"Albacete","E.S. SIERRA DEL SEGURA","CARRETERA A 45 KM. 39,8, LETUR","1,358€","1,478€","1,306€"
"Albacete","E.S. MADRIGUERAS","PARAJE DE LA FUENTE, S/N, HELLIN","€","€","1,249€"
"Albacete","E.S. MADRIGUERAS","CARRETERA C-3222 KM. 9, MADRIGUERAS","1,359€","€","1,269€"
"Albacete","E.S. LEDAÑA","CALLE ANTONIO MACHADO, 2, POZO CAÑADA","€","€","1,239€"
"Albacete","E.S. BARRAX S.L.","CALLE ALBACETE, 57, BARRAX","1,389€","€","1,329€"
"Albacete","E.S. BALAZOTE S.L.","N-322 km 326,2, BALAZOTE","1,389€","€","1,329€"
"Albacete","E.S.","POLIGONO CAMPOLLANO C/.F, 13, ALBACETE","€","€","1,269€"
"Albacete","COOPERATIVA SANTA CRUZ DE ALPERA","BONETE, S/Nº, ALPERA","1,283€","€","1,226€"
"Albacete","COOPERATIVA SAN JOSE","CAMINO DE HELLIN S/N, ONTUR","€","€","1,060€"
"Albacete","COABA","CAMINO DE LOS GONZALOS SN, BARRAX","€","€","1,281€"
"Albacete","CEPSA","AUTOVIA A-43 KM. 390, VILLARROBLEDO","1,379€","1,494€","1,329€"
"Albacete","CEPSA","AUTOVIA A-31 KM. 143,350, ALMANSA","1,399€","1,514€","1,339€"
"Albacete","CEPSA","AVENIDA MADRID, 11, ALMANSA","1,379€","€","1,329€"
"Albacete","CEPSA","CARRETERA FUENTEALAMO KM. 36, PETROLA","1,359€","€","1,275€"
"Albacete","CEPSA","AVENIDA CIRCUNVALACION, 9, ALMANSA","1,389€","1,504€","1,339€"
"Albacete","CEPSA","CARRETERA NACIONAL 322 KM. 390, GOLOSALVO","1,389€","1,459€","1,319€"
"Albacete","CEPSA","CARRETERA N-322 KM. 349, ALBACETE","1,389€","1,504€","1,339€"
"Albacete","CEPSA","AVENIDA REYES CATOLICOS, 26, VILLARROBLEDO","1,379€","€","1,325€"
"Albacete","CEPSA","CARRETERA N-310 KM. 120,5, VILLARROBLEDO","1,379€","1,494€","1,329€"
"Albacete","CEPSA","AUTOVIA A31 KM. 111, VILLAR DE CHINCHILLA","1,409€","1,539€","1,349€"
"Albacete","CEPSA","MARTIRES 209, RODA (LA)","1,379€","1,494€","1,329€"
"Albacete","CEPSA","POLIGONO Nº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N, ALBACETE","1,399€","1,509€","1,319€"
"Albacete","CEPSA","AVENIDA CIRCUNVALACION, 26, ALMANSA","1,379€","€","1,329€"
"Albacete","CEPSA","CARRETERA CM-412 KM. 199,5, RIOPAR","1,379€","1,494€","1,329€"
"Albacete","CEPSA","AVDA. ALBACETE, S/N (AB-2 km 5), AGUAS NUEVAS","1,417€","€","1,349€"
"Albacete","CEPSA","CM-3203 km 41,9, ALCADOZO","1,389€","€","1,329€"
"Albacete","CEPSA","CALLE ALMANSA, 2, ALBACETE","1,379€","€","1,319€"
"Albacete","CEPSA","CARRETERA A-30 KM. 328,2, HELLIN","1,379€","1,494€","1,329€"
"Albacete","CEPSA","CARRETERA NACIONAL 430 AUTOVIA KM. 548,5, VILLAR DE CHINCHILLA","1,399€","€","1,339€"
"Albacete","CEPSA","POLIGONO CAMPOLLANO, 55, ALBACETE","1,379€","1,499€","1,319€"
"Albacete","CEPSA","CARRETERA ALBACETE KM. 94, CASAS-IBAÑEZ","1,399€","1,549€","1,329€"
"Albacete","CEPSA","CALLE HERMANOS FALCÓ, 2, ALBACETE","€","1,499€","1,319€"
"Albacete","CEPSA","PASEO CUBA (LA), 36, ALBACETE","1,399€","1,499€","1,319€"
"Albacete","CEPSA","AUTOVIA A-30 KM. 239,4, ALBACETE","1,389€","1,504€","1,339€"
"Albacete","CEPSA","CARRETERA DE HELLIN KM. 42, YESTE","1,379€","€","1,329€"
"Albacete","CEPSA","AUTOVIA A-30 KM. 239,4, ALBACETE","1,409€","1,524€","1,349€"
"Albacete","CASA JUANITO RESTAURANTE","CR NACIONAL 301, KM 209,5, RODA (LA)","1,392€","€","1,329€"
"Albacete","CARREFOUR","AVENIDA 1º DE MAYO, S/N, ALBACETE","1,359€","1,449€","1,289€"
"Albacete","CARREFOUR","AVENIDA REYES CATÓLICOS (APARCAMIENTO DEL CARREFOUR), S/N, VILLARROBLEDO","1,359€","1,459€","1,309€"
"Albacete","CARBURANTES GARCIA LOZANO","CARRETERA POZOHONDO KM. 0,900, HELLIN","1,349€","€","1,289€"
"Albacete","CANOIL","CARRETERA NACIONAL 320 KM. 289, ROBLEDO","1,359€","€","1,289€"
"Albacete","CAMPSA","CARRETERA CM 3206 KM. 27,4, YESTE","€","€","€"
"Albacete","CAMPSA","CL BOLEA, 36 (CM-412 km 235,65), ELCHE DE LA SIERRA","1,369€","1,509€","1,319€"
"Albacete","CAMPSA","CR N-301, 231,8, GINETA (LA)","1,349€","1,479€","1,319€"
"Albacete","CAMPSA","CR N-322 276,5, ALCARAZ","1,359€","1,479€","1,299€"
"Albacete","CAMPSA","CR AB-702, 45,6, NERPIO","1,349€","1,449€","1,299€"
"Albacete","CAMPSA","CALLE CARRETERA MUNERA, 2, BONILLO (EL)","1,369€","1,509€","1,299€"
"Albacete","CAMPSA","CARRETERA CM-3114 KM. 0,1, RODA (LA)","1,369€","1,509€","1,319€"
"Albacete","CAMPSA","CRTA.CM km KM297,5, ONTUR","1,349€","1,473€","1,299€"
"Albacete","BP OIL ESPAÑA, S.A.","AVENIDA REYES CATOLICOS, 133, VILLARROBLEDO","1,339€","1,459€","1,289€"
"Albacete","BP OIL","CARRETERA N-330 KM. 68, CAUDETE","1,304€","1,446€","1,199€"
"Albacete","BP OIL","AUTOVIA A-31 KM. 172, CAUDETE","1,409€","1,551€","1,334€"
"Albacete","BP","MELCHOR DE MACANAZ, 66, HELLIN","1,369€","1,489€","1,319€"
"Albacete","BENZINUM","POLIGONO ROMICA C/4, 106, ALBACETE","1,319€","€","1,259€"
"Albacete","ALCAMPO","SECTOR PARCELA T-3 LOCAL52, 14, ALBACETE","1,232€","1,315€","1,158€"
"Albacete","AB OIL","AVENIDA 0, 48, ALBACETE","1,339€","1,479€","1,269€"
"Alicante","ZARCAR","AVENIDA PAIS VALENCIA, 20, FINESTRAT","1,395€","1,535€","1,295€"
"Alicante","VISTAHERMOSA","AVENIDA DENIA, 150, ALICANTE/ALACANT","1,419€","1,561€","1,339€"
"Alicante","VALCARCE","CARRETERA AGOST-NOVELDA KM 2 KM. 2, AGOST","1,405€","1,509€","1,369€"
"Alicante","V2 GASOLINERAS","AVENIDA CORTES VALENCIANAS, 74, TORREVIEJA","1,359€","€","1,249€"
"Alicante","V2 GASOLINERAS","CARRETERA CTRA.ELDA-MONOVAR KM 13 KM. 13, ELDA","1,369€","€","1,249€"
"Alicante","THADEROIL","CALLE APOLO, 107, TORREVIEJA","1,199€","1,239€","1,069€"
"Alicante","TECKMAR","PARTIDA MADRIGUERES SUD, 25, DENIA","1,378€","€","1,288€"
"Alicante","TAMOIL","POL. IND. BABEL C/ ARTES GR?FICAS, 89, ALICANTE/ALACANT","1,398€","1,498€","1,298€"
